t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y
1.233925E1,1.073546E0,9.516115E-4,,,,,,,,
1.237260E1,1.096128E0,6.312304E-4,,,,,,,,
1.240595E1,1.118576E0,6.916655E-4,,,,,,,,
1.243930E1,1.140162E0,2.758447E-4,,,,,,,,
1.247265E1,1.161273E0,7.204496E-4,,,,,,,,
1.250600E1,,,,,,,,,,
1.253935E1,,,,,,,,,,
1.257270E1,,,,,,,,,,
1.260605E1,,,,,,,,,,
1.263940E1,,,,,,,,,,
1.267275E1,,,,,,,,,,
1.270610E1,,,,,,,,,,
1.273944E1,,,,,,,,,,
1.277279E1,,,,,,,,,,
1.280614E1,,,,,,,,,,
1.283949E1,,,,,,,,,,
1.287284E1,,,,,,,,,,
1.290619E1,,,,,,,,,,
1.293954E1,,,,,,,,,,
1.297289E1,,,,,,,,,,
1.300624E1,,,,,,,,,,
1.303959E1,,,,,,,,,,
1.307294E1,,,,,,,,,,
1.310629E1,,,,,,,,,,
1.313964E1,,,,,,,,,,
1.317299E1,,,,,,,,,,
1.320633E1,,,,,,,,,,
1.323968E1,,,,,,,,,,
1.327303E1,,,,,,,,,,
1.330638E1,,,,,,,,,,
1.333973E1,,,,,,,,,,
1.337308E1,,,,,,,,,,
1.340643E1,,,,,,,,,,
1.343978E1,,,,,,,,,,
1.347313E1,,,,,,,,,,
1.350648E1,,,,,,,,,,
1.353983E1,,,,,,,,,,
1.357318E1,,,,,,,,,,
1.360653E1,,,,,,,,,,
1.363988E1,,,,,,,,,,
1.367323E1,,,,,,,,,,
1.370657E1,,,,,,,,,,
1.373992E1,,,,,,,,,,
1.377327E1,,,,,,,,,,
1.380662E1,,,,,,,,,,
1.383997E1,,,,,,,,,,
1.387332E1,,,,,,,,,,
1.390667E1,,,,,,,,,,
1.394002E1,,,,,,,,,,
1.397337E1,,,,,,,,,,
1.400672E1,,,,,,,,,,
1.404007E1,,,,,,,,,,
1.407342E1,,,,,,,,,,
1.410677E1,,,,,,,,,,
1.414012E1,,,,,,,,,,
1.417347E1,,,,,,,,,,
1.420681E1,,,,,,,,,,
1.424016E1,,,,,,,,,,
1.427351E1,,,,,,,,,,
1.430686E1,,,,,,,,,,
1.434021E1,,,,,,,,,,
1.437356E1,,,,,,,,,,
1.440691E1,,,,,,,,,,
1.444026E1,,,,,,,,,,
1.447361E1,,,,,,,,,,
1.450696E1,,,,,,,,,,
1.454031E1,,,,,,,,,,
1.457366E1,,,,,,,,,,
1.460701E1,,,,,,,,,,
1.464036E1,,,,,,,,,,
1.467371E1,,,,,,,,,,
1.470705E1,,,,,,,,,,
1.474040E1,,,,,,,,,,
1.477375E1,,,,,,,,,,
1.480710E1,,,,,,,,,,
1.484045E1,,,,,,,,,,
1.487380E1,,,,,,,,,,
1.490715E1,,,,,,,,,,
1.494050E1,,,,,,,,,,
1.497385E1,,,,,,,,,,
1.500720E1,,,,,,,,,,
1.504055E1,,,,,,,,,,
1.507390E1,,,,,,,,,,
1.510725E1,,,,,,,,,,
1.514060E1,,,,,,,,,,
1.517395E1,,,,,,,,,,
1.520729E1,,,,,,,,,,
1.524064E1,,,,,,,,,,
1.527399E1,,,,,,,,,,
1.530734E1,,,,,,,,,,
1.534069E1,,,,,,,,,,
1.537404E1,,,,,,,,,,
1.540739E1,,,,,,,,,,
1.544074E1,,,,,,,,,,
1.547409E1,,,,,,,,,,
1.550744E1,,,,,,,,,,
1.554079E1,,,,,,,,,,
1.557414E1,,,,,,,,,,
1.560749E1,,,,,,,,,,
1.564084E1,,,,,,,,,,
1.567419E1,,,,,,,,,,
1.570753E1,,,,,,,,,,
1.574088E1,,,,,,,,,,
1.577423E1,,,,,,,,,,
1.580758E1,,,,,,,,,,
1.584093E1,,,,,,,,,,
1.587428E1,,,,,,,,,,
1.590763E1,,,,,,,,,,
1.594098E1,,,,,,,,,,
1.597433E1,,,,,,,,,,
1.600768E1,,,,,,,,,,
1.604103E1,,,,,,,,,,
1.607438E1,,,,,,,,,,
1.610773E1,,,,,,,,,,
1.614108E1,,,,,,,,,,
1.617443E1,,,,,,,,,,
1.620777E1,,,,,,,,,,
1.624112E1,,,,,,,,,,
1.627447E1,,,,,,,,,,
1.630782E1,,,,,,,,,,
1.634117E1,,,,,,,,,,
1.637452E1,,,,,,,,,,
1.640787E1,,,,,,,,,,
1.644122E1,,,,,,,,,,
1.647457E1,,,,,,,,,,
1.650792E1,,,,,,,,,,
1.654127E1,,,,,,,,,,
1.657462E1,,,,,,,,,,
1.660797E1,,,,,,,,,,
1.664132E1,,,,,,,,,,
1.667467E1,,,,,,,,,,
1.670801E1,,,,,,,,,,
1.674136E1,,,,,,,,,,
1.677471E1,,,,,,,,,,
1.680806E1,,,,,,,,,,
1.684141E1,,,,,,,,,,
1.687476E1,,,,,,,,,,
1.690811E1,,,,,,,,,,
1.694146E1,,,,,,,,,,
1.697481E1,,,,,,,,,,
1.700816E1,,,,,,,,,,
1.704151E1,,,,,,,,,,
1.707486E1,,,,,,,,,,
1.710821E1,,,,,,,,,,
1.714156E1,,,,,,,,,,
1.717491E1,,,,,,,,,,
1.720825E1,,,,,,,,,,
1.724160E1,,,,,,,,,,
1.727495E1,,,,,,,,,,
1.730830E1,,,,,,,,,,
1.734165E1,,,,,,,,,,
1.737500E1,,,,,,,,,,
1.740835E1,,,,,,,,,,
1.744170E1,,,,,,,,,,
1.747505E1,,,,,,,,,,
1.750840E1,,,,,,,,,,
1.754175E1,,,,,,,,,,
1.757510E1,,,,,,,,,,
1.760845E1,,,,,,,,,,
1.764180E1,,,,,,,,,,
1.767515E1,,,,,,,,,,
1.770849E1,,,,,,,,,,
1.774184E1,,,,,,,,,,
1.777519E1,,,1.646870E-3,-1.403052E-3,,,,,,
1.780854E1,,,1.672351E-3,-1.393419E-3,,,,,,
1.784189E1,,,1.664999E-3,-1.391920E-3,,,,,,
1.787524E1,,,1.667935E-3,-1.398289E-3,,,,,,
1.790859E1,,,1.660793E-3,-1.396101E-3,,,,,,
1.794194E1,,,1.672038E-3,-1.396951E-3,,,,,,
1.797529E1,,,2.110732E-3,-1.383230E-3,,,,,,
1.800864E1,,,2.938372E-3,-1.364043E-3,,,,,,
1.804199E1,,,3.700927E-3,-1.324616E-3,,,,,,
1.807534E1,,,4.789699E-3,-1.277459E-3,,,,,,
1.810869E1,,,6.148186E-3,-1.290626E-3,,,,,,
1.814204E1,,,7.743853E-3,-1.315067E-3,,,,,,
1.817539E1,,,9.540129E-3,-1.249751E-3,,,,,,
1.820873E1,,,1.171666E-2,-1.274655E-3,,,,,,
1.824208E1,,,1.389192E-2,-1.129139E-3,,,,,,
1.827543E1,,,1.657043E-2,-1.181902E-3,,,,,,
1.830878E1,,,1.940144E-2,-9.904209E-4,,,,,,
1.834213E1,,,2.249321E-2,-1.026948E-3,,,,,,
1.837548E1,,,2.583935E-2,-1.064351E-3,,,,,,
1.840883E1,,,2.957093E-2,-1.125983E-3,,,,,,
1.844218E1,,,3.327454E-2,-9.964991E-4,,,,,,
1.847553E1,,,3.720767E-2,-1.021847E-3,,,,,,
1.850888E1,,,4.175392E-2,-9.961457E-4,,,,,,
1.854223E1,,,4.594539E-2,-9.600742E-4,,,,,,
1.857558E1,,,5.055983E-2,-1.038670E-3,,,,,,
1.860893E1,,,5.561296E-2,-1.030724E-3,,,,,,
1.864228E1,,,6.081993E-2,-9.782007E-4,,,,,,
1.867563E1,,,6.624003E-2,-9.410999E-4,,,,,,
1.870897E1,,,7.198302E-2,-9.621544E-4,,,,,,
1.874232E1,,,7.789008E-2,-9.613781E-4,,,,,,
1.877567E1,,,8.398229E-2,-9.057003E-4,,,,,,
1.880902E1,,,9.057245E-2,-8.379834E-4,,,,,,
1.884237E1,,,9.667256E-2,-1.011785E-3,,,,,,
1.887572E1,,,1.032713E-1,-9.466346E-4,,,,,,
1.890907E1,,,1.104626E-1,-8.865672E-4,,,,,,
1.894242E1,,,1.177187E-1,-9.184284E-4,,,,,,
1.897577E1,,,1.252140E-1,-9.904024E-4,,,,,,
1.900912E1,,,1.325334E-1,-9.554094E-4,,,,,,
1.904247E1,,,1.405529E-1,-8.535135E-4,,,,,,
1.907582E1,,,1.486562E-1,-8.933938E-4,,,,,,
1.910917E1,,,1.567832E-1,-9.277236E-4,,,,,,
1.914252E1,,,1.652336E-1,-1.019447E-3,,,,,,
1.917587E1,,,1.740234E-1,-8.434291E-4,,,,,,
1.920921E1,,,1.830180E-1,-9.303389E-4,,,,,,
1.924256E1,,,1.919270E-1,-8.555416E-4,,,,,,
1.927591E1,,,2.016308E-1,-8.384688E-4,,,,,,
1.930926E1,,,2.111844E-1,-9.060592E-4,,,,,,
1.934261E1,,,2.210668E-1,-7.389888E-4,,,,,,
1.937596E1,,,2.310202E-1,-8.217438E-4,,,,,,
1.940931E1,,,2.412574E-1,-8.364551E-4,,,,,,
1.944266E1,,,2.514510E-1,-9.074717E-4,,,,,,
1.947601E1,,,2.626452E-1,-7.918321E-4,,,,,,
1.950936E1,,,2.730981E-1,-9.747620E-4,,,,,,
1.954271E1,,,2.841866E-1,-8.378615E-4,,,,,,
1.957606E1,,,2.955855E-1,-7.996208E-4,,,,,,
1.960941E1,,,3.079624E-1,-8.146101E-4,,,,,,
1.964276E1,,,3.193412E-1,-8.522164E-4,,,,,,
1.967611E1,,,3.313800E-1,-7.541072E-4,,,,,,
1.970945E1,,,3.439827E-1,-9.992400E-4,,,,,,
1.974280E1,,,3.568877E-1,-8.917908E-4,,,,,,
1.977615E1,,,3.700525E-1,-9.418146E-4,,,,,,
1.980950E1,,,3.827661E-1,-7.839380E-4,,,,,,
1.984285E1,,,3.962114E-1,-6.246938E-4,,,,,,
1.987620E1,,,4.096749E-1,-5.415939E-4,,,,,,
1.990955E1,,,4.232729E-1,-4.899770E-4,,,,,,
1.994290E1,,,4.368689E-1,-4.826209E-4,,,,,,
1.997625E1,,,4.509078E-1,-5.886226E-4,,,,,,
2.000960E1,,,4.650970E-1,-5.784601E-4,,,,,,
2.004295E1,,,4.794779E-1,-4.560341E-4,,,,,,
2.007630E1,,,4.944303E-1,-5.039912E-4,,,,,,
2.010965E1,,,5.098855E-1,-4.768467E-4,,,,,,
2.014300E1,,,5.246647E-1,-4.626792E-4,,,,,,
2.017635E1,,,5.403843E-1,-5.308084E-4,,,,,,
2.020969E1,,,5.558960E-1,-4.179914E-4,,,,,,
2.024304E1,,,5.718930E-1,-4.239791E-4,,,,,,
2.027639E1,,,5.888375E-1,-3.424452E-4,,,,,,
2.030974E1,,,6.059412E-1,-2.966489E-4,,,,,,
2.034309E1,,,6.208463E-1,-4.158967E-4,,,,,,
2.037644E1,,,6.366843E-1,-3.381303E-4,,,,,,
2.040979E1,,,6.542425E-1,-4.170878E-4,,,,,,
2.044314E1,,,6.703150E-1,-2.330588E-4,,,,,,
2.047649E1,,,6.862840E-1,-2.195155E-4,,,,,,
2.050984E1,,,7.039530E-1,-1.751406E-4,,,,,,
2.054319E1,,,7.217470E-1,-1.044840E-4,,,,,,
2.057654E1,,,7.394895E-1,-2.477060E-4,,,,,,
2.060989E1,,,7.580855E-1,-2.105723E-4,,,,,,
2.064324E1,,,7.768187E-1,-2.369062E-4,,,,,,
2.067659E1,,,7.951726E-1,-3.639837E-4,,,,,,
2.070993E1,,,8.139886E-1,-4.366482E-4,,,,,,
2.074328E1,,,8.339058E-1,-7.261393E-4,,,,,,
2.077663E1,,,8.531831E-1,-6.342693E-4,,,,,,
2.080998E1,,,8.728752E-1,-6.017479E-4,,,,,,
2.084333E1,,,8.928987E-1,-7.445583E-4,,,,,,
2.087668E1,,,9.127726E-1,-7.355410E-4,,,,,,
2.091003E1,,,9.332683E-1,-7.968141E-4,,,,,,
2.094338E1,,,9.539254E-1,-8.439894E-4,,,,,,
2.097673E1,,,9.747347E-1,-7.758637E-4,,,,,,
2.101008E1,,,9.956039E-1,-6.602657E-4,,,,,,
2.104343E1,,,1.017080E0,-6.059706E-4,,,,,,
2.107678E1,,,1.038239E0,-5.575130E-4,,,,,,
2.111013E1,,,1.059653E0,-5.533256E-4,,,,,,
2.114348E1,,,1.081987E0,-7.063897E-4,,,,,,
2.117683E1,,,1.104471E0,-1.480884E-4,,,,,,
2.121017E1,,,1.125307E0,-9.390198E-4,,,,,,
2.124352E1,,,1.147181E0,-2.224222E-5,,,,,,
2.127687E1,,,,,,,,,,
2.131022E1,,,,,,,,,,
2.134357E1,,,,,,,,,,
2.137692E1,,,,,,,,,,
2.141027E1,,,,,,,,,,
2.144362E1,,,,,,,,,,
2.147697E1,,,,,,,,,,
2.151032E1,,,,,,,,,,
2.154367E1,,,,,,,,,,
2.157702E1,,,,,,,,,,
2.161037E1,,,,,,,,,,
2.164372E1,,,,,,,,,,
2.167707E1,,,,,,,,,,
2.171041E1,,,,,,,,,,
2.174376E1,,,,,,,,,,
2.177711E1,,,,,,,,,,
2.181046E1,,,,,,,,,,
2.184381E1,,,,,,,,,,
2.187716E1,,,,,,,,,,
2.191051E1,,,,,,,,,,
2.194386E1,,,,,,,,,,
2.197721E1,,,,,,,,,,
2.201056E1,,,,,,,,,,
2.204391E1,,,,,,,,,,
2.207726E1,,,,,,,,,,
2.211061E1,,,,,,,,,,
2.214396E1,,,,,,,,,,
2.217730E1,,,,,,,,,,
2.221065E1,,,,,,,,,,
2.224400E1,,,,,,,,,,
2.227735E1,,,,,,,,,,
2.231070E1,,,,,,,,,,
2.234405E1,,,,,,,,,,
2.237740E1,,,,,,,,,,
2.241075E1,,,,,,,,,,
2.244410E1,,,,,,,,,,
2.247745E1,,,,,,,,,,
2.251080E1,,,,,,,,,,
2.254415E1,,,,,,,,,,
2.257750E1,,,,,,,,,,
2.261085E1,,,,,,,,,,
2.264420E1,,,,,,,,,,
2.267754E1,,,,,,,,,,
2.271089E1,,,,,,,,,,
2.274424E1,,,,,,,,,,
2.277759E1,,,,,,,,,,
2.281094E1,,,,,,,,,,
2.284429E1,,,,,,,,,,
2.287764E1,,,,,,,,,,
2.291099E1,,,,,,,,,,
2.294434E1,,,,,,,,,,
2.297769E1,,,,,,,,,,
2.301104E1,,,,,,,,,,
2.304439E1,,,,,,,,,,
2.307774E1,,,,,,,,,,
2.311109E1,,,,,,,,,,
2.314444E1,,,,,,,,,,
2.317778E1,,,,,,,,,,
2.321113E1,,,,,,,,,,
2.324448E1,,,,,,,,,,
2.327783E1,,,,,,,,,,
2.331118E1,,,,,,,,,,
2.334453E1,,,,,,,,,,
2.337788E1,,,,,,,,,,
2.341123E1,,,,,,,,,,
2.344458E1,,,,,,,,,,
2.347793E1,,,,,,,,,,
2.351128E1,,,,,,,,,,
2.354463E1,,,,,,,,,,
2.357798E1,,,,,,,,,,
2.361133E1,,,,,,,,,,
2.364468E1,,,,,,,,,,
2.367802E1,,,,,,,,,,
2.371137E1,,,,,,,,,,
2.374472E1,,,,,,,,,,
2.377807E1,,,,,,,,,,
2.381142E1,,,,,,,,,,
2.384477E1,,,,,,,,,,
2.387812E1,,,,,,,,,,
2.391147E1,,,,,,,,,,
2.394482E1,,,,,,,,,,
2.397817E1,,,,,,,,,,
2.401152E1,,,,,,,,,,
2.404487E1,,,,,,,,,,
2.407822E1,,,,,,,,,,
2.411157E1,,,,,,,,,,
2.414492E1,,,,,,,,,,
2.417826E1,,,,,,,,,,
2.421161E1,,,,,,,,,,
2.424496E1,,,,,,,,,,
2.427831E1,,,,,,,,,,
2.431166E1,,,,,,,,,,
2.434501E1,,,,,,,,,,
2.437836E1,,,,,,,,,,
2.441171E1,,,,,,,,,,
2.444506E1,,,,,,,,,,
2.447841E1,,,,,,,,,,
2.451176E1,,,,,,,,,,
2.454511E1,,,,,,,,,,
2.457846E1,,,,,,,,,,
2.461181E1,,,,,,,,,,
2.464516E1,,,,,,,,,,
2.467850E1,,,,,,,,,,
2.471185E1,,,,,,,,,,
2.474520E1,,,,,,,,,,
2.477855E1,,,,,,,,,,
2.481190E1,,,,,,,,,,
2.484525E1,,,,,,,,,,
2.487860E1,,,,,,,,,,
2.491195E1,,,,,,,,,,
2.494530E1,,,,,,,,,,
2.497865E1,,,,,,,,,,
2.501200E1,,,,,,,,,,
