t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
2.457010E1,,,,,,,,,,,,
2.460343E1,,,,,,,,,,,,
2.463677E1,,,,,,,,,,,,
2.467011E1,,,,,,,,,,,,
2.470345E1,,,,,,,,,,,,
2.473679E1,,,,,,,,,,,,
2.477012E1,,,,,,,,,,,,
2.480346E1,,,,,,,,,,,,
2.483680E1,,,,,,,,,,,,
2.487014E1,,,,,,,,,,,,
2.490348E1,,,,,,,,,,,,
2.493681E1,,,,,,,,,,,,
2.497015E1,,,,,,,,,,,,
2.500349E1,,,,,,,,,,,,
2.503683E1,,,,,,,,,,,,
2.507017E1,,,,,,,,,,,,
2.510350E1,,,,,,,,,,,,
2.513684E1,,,,,,,,,,,,
2.517018E1,,,,,,,,,,,,
2.520352E1,,,,,,,,,,,,
2.523686E1,,,,,,,,,,,,
2.527019E1,,,,,,,,,,,,
2.530353E1,,,,,,,,,,,,
2.533687E1,,,,,,,,,,,,
2.537021E1,,,,,,,,,,,,
2.540355E1,,,,,,,,,,,,
2.543688E1,,,,,,,,,,,,
2.547022E1,,,,,,,,,,,,
2.550356E1,,,,,,,,,,,,
2.553690E1,,,,,,,,,,,,
2.557024E1,,,,,,,,,,,,
2.560357E1,,,,,,,,,,,,
2.563691E1,,,,,,,,,,,,
2.567025E1,,,,,,,,,,,,
2.570359E1,,,,,,,,,,,,
2.573693E1,,,,,,,,,,,,
2.577026E1,,,,,,,,,,,,
2.580360E1,,,,,,,,,,,,
2.583694E1,,,,,,,,,,,,
2.587028E1,,,,,,,,,,,,
2.590362E1,,,,,,,,,,,,
2.593695E1,,,,,,,,,,,,
2.597029E1,,,,,,,,,,,,
2.600363E1,,,,,,,,,,,,
2.603697E1,,,,,,,,,,,,
2.607031E1,,,,,,,,,,,,
2.610364E1,,,,,,,,,,,,
2.613698E1,,,,,,,,,,,,
2.617032E1,,,,,,,,,,,,
2.620366E1,,,,,,,,,,,,
2.623699E1,,,,,,,,,,,,
2.627033E1,,,,,,,,,,,,
2.630367E1,,,,,,,,,,,,
2.633701E1,,,,,,,,,,,,
2.637035E1,,,,,,,,,,,,
2.640368E1,,,,,,,,,,,,
2.643702E1,,,,,,,,,,,,
2.647036E1,,,,,,,,,,,,
2.650370E1,,,,,,,,,,,,
2.653704E1,,,,,,,,,,,,
2.657037E1,,,,,,,,,,,,
2.660371E1,,,,,,,,,,,,
2.663705E1,,,,,,,,,,,,
2.667039E1,,,,,,,,,,,,
2.670373E1,,,,,,,,,,,,
2.673706E1,,,,,,,,,,,,
2.677040E1,,,,,,,,,,,,
2.680374E1,,,,,,,,,,,,
2.683708E1,,,,,,,,,,,,
2.687042E1,,,,,,,,,,,,
2.690375E1,,,,,,,,,,,,
2.693709E1,,,,,,,,,,,,
2.697043E1,,,,,,,,,,,,
2.700377E1,,,,,,,,,,,,
2.703711E1,,,,,,,,,,,,
2.707044E1,,,,,,,,,,,,
2.710378E1,,,,,,,,,,,,
2.713712E1,,,,,,,,,,,,
2.717046E1,,,,,,,,,,,,
2.720380E1,,,,,,,,,,,,
2.723713E1,,,,,,,,,,,,
2.727047E1,,,,,,,,,,,,
2.730381E1,,,,,,,,,,,,
2.733715E1,,,,,,,,,,,,
2.737049E1,,,,,,,,,,,,
2.740382E1,,,,,,,,,,,,
2.743716E1,,,,,,,,,,,,
2.747050E1,,,,,,,,,,,,
2.750384E1,,,,,,,,,,,,
2.753718E1,,,,,,,,,,,,
2.757051E1,,,,,,,,,,,,
2.760385E1,,,,,,,,,,,,
2.763719E1,,,,,,,,,,,,
2.767053E1,,,,,,,,,,,,
2.770387E1,,,,,,,,,,,,
2.773720E1,,,,,,,,,,,,
2.777054E1,,,,,,,,,,,,
2.780388E1,,,,,,,,,,,,
2.783722E1,,,,,,,,,,,,
2.787056E1,,,,,,,,,,,,
2.790389E1,,,,,,,,,,,,
2.793723E1,,,,,,,,,,,,
2.797057E1,,,,,,,,,,,,
2.800391E1,,,,,,,,,,,,
2.803725E1,,,,,,,,,,,,
2.807058E1,,,,,,,,,,,,
2.810392E1,,,,,,,,,,,,
2.813726E1,,,,,,,,,,,,
2.817060E1,,,,,,,,,,,,
2.820394E1,,,,,,,,,,,,
2.823727E1,,,,,,,,,,,,
2.827061E1,,,,,,,,,,,,
2.830395E1,,,,,,,,,,,,
2.833729E1,,,,,,,,,,,,
2.837063E1,,,,,,,,,,,,
2.840396E1,,,4.188976E-4,1.507067E-3,,,,,,,,
2.843730E1,,,5.879656E-4,1.902198E-3,,,,,,,,
2.847064E1,,,1.197760E-3,1.360797E-3,,,,,,,,
2.850398E1,,,1.197760E-3,1.360797E-3,,,,,,,,
2.853732E1,,,1.197760E-3,1.360797E-3,,,,,,,,
2.857065E1,,,1.378227E-3,1.564062E-3,,,,,,,,
2.860399E1,,,2.326157E-3,1.812922E-3,,,,,,,,
2.863733E1,,,2.709888E-3,1.835720E-3,,,,,,,,
2.867067E1,,,4.662743E-3,1.374112E-3,,,,,,,,
2.870401E1,,,6.389535E-3,1.476702E-3,,,,,,,,
2.873734E1,,,9.301719E-3,1.072089E-3,,,,,,,,
2.877068E1,,,1.313903E-2,1.300068E-3,,,,,,,,
2.880402E1,,,1.720241E-2,9.638476E-4,,,,,,,,
2.883736E1,,,2.143486E-2,1.022758E-3,,,,,,,,
2.887070E1,,,2.815016E-2,1.421721E-3,,,,,,,,
2.890403E1,,,3.374847E-2,1.176692E-3,,,,,,,,
2.893737E1,,,3.952724E-2,1.134929E-3,,,,,,,,
2.897071E1,,,4.798073E-2,1.444616E-3,,,,,,,,
2.900405E1,,,5.531723E-2,1.110312E-3,,,,,,,,
2.903739E1,,,6.433492E-2,1.646061E-3,,,,,,,,
2.907072E1,,,7.355588E-2,2.001344E-3,,,,,,,,
2.910406E1,,,8.343223E-2,1.047763E-3,,,,,,,,
2.913740E1,,,9.223525E-2,1.955845E-3,,,,,,,,
2.917074E1,,,1.049782E-1,1.365114E-3,,,,,,,,
2.920408E1,,,1.163097E-1,1.845785E-3,,,,,,,,
2.923741E1,,,1.294591E-1,8.941202E-4,,,,,,,,
2.927075E1,,,1.423369E-1,1.274117E-3,,,,,,,,
2.930409E1,,,1.558131E-1,1.304579E-3,,,,,,,,
2.933743E1,,,1.698763E-1,1.177371E-3,,,,,,,,
2.937077E1,,,1.842663E-1,2.032291E-3,,,,,,,,
2.940410E1,,,1.993002E-1,1.770213E-3,,,,,,,,
2.943744E1,,,2.158577E-1,1.791192E-3,,,,,,,,
2.947078E1,,,2.328102E-1,1.643103E-3,,,,,,,,
2.950412E1,,,2.495938E-1,1.099883E-3,,,,,,,,
2.953746E1,,,2.662747E-1,2.283456E-3,,,,,,,,
2.957079E1,,,2.851573E-1,2.057490E-3,,,,,,,,
2.960413E1,,,3.042432E-1,1.651058E-3,,,,,,,,
2.963747E1,,,3.248299E-1,1.911414E-3,,,,,,,,
2.967081E1,,,3.444800E-1,1.731044E-3,,,,,,,,
2.970415E1,,,3.669625E-1,2.489121E-3,,,,,,,,
2.973748E1,,,3.876403E-1,1.214551E-3,,,,,,,,
2.977082E1,,,4.120300E-1,2.278484E-3,,,,,,,,
2.980416E1,,,4.336330E-1,1.636506E-3,,,,,,,,
2.983750E1,,,4.540848E-1,9.261343E-4,,,,,,,,
2.987084E1,,,4.773347E-1,1.729807E-3,,,,,,,,
2.990417E1,,,5.017701E-1,2.026276E-3,,,,,,,,
2.993751E1,,,5.254949E-1,1.317821E-3,,,,,,,,
2.997085E1,,,5.516343E-1,2.100612E-3,,,,,,,,
3.000419E1,,,5.786874E-1,3.707861E-3,,,,,,,,
3.003753E1,,,6.105276E-1,2.518831E-3,,,,,,,,
3.007086E1,,,6.332476E-1,2.520844E-3,,,,,,,,
3.010420E1,,,6.600309E-1,2.186638E-3,,,,,,,,
3.013754E1,,,6.911702E-1,3.073935E-3,,,,,,,,
3.017088E1,,,7.214755E-1,1.793714E-3,,,,,,,,
3.020422E1,,,7.501205E-1,2.532825E-3,,,,,,,,
3.023755E1,,,7.798046E-1,1.985871E-3,,,,,,,,
3.027089E1,,,8.081000E-1,2.126587E-3,,,,,,,,
3.030423E1,,,8.400638E-1,2.100151E-3,,,,,,,,
3.033757E1,,,8.745673E-1,1.454438E-3,,,,,,,,
3.037091E1,,,9.055603E-1,1.562874E-3,,,,,,,,
3.040424E1,,,9.400525E-1,1.109027E-3,,,,,,,,
3.043758E1,,,9.729755E-1,1.139585E-3,,,,,,,,
3.047092E1,,,1.007050E0,1.238538E-3,,,,,,,,
3.050426E1,,,1.045571E0,1.024068E-3,,,,,,,,
3.053760E1,,,1.079657E0,9.311548E-4,,,,,,,,
3.057093E1,,,1.116835E0,6.368927E-4,,,,,,,,
3.060427E1,,,1.151473E0,9.619077E-4,,,,,,,,
3.063761E1,,,,,,,,,,,,
3.067095E1,,,,,,,,,,,,
3.070429E1,,,,,,,,,,,,
3.073762E1,,,,,,,,,,,,
3.077096E1,,,,,,,,,,,,
3.080430E1,,,,,,,,,,,,
3.083764E1,,,,,,,,,,,,
3.087098E1,,,,,,,,,,,,
3.090431E1,,,,,,,,,,,,
3.093765E1,,,,,,,,,,,,
3.097099E1,,,,,,,,,,,,
3.100433E1,,,,,,,,,,,,
3.103766E1,,,,,,,,,,,,
3.107100E1,,,,,,,,,,,,
3.110434E1,,,,,,,,,,,,
3.113768E1,,,,,,,,,,,,
3.117102E1,,,,,,,,,,,,
3.120435E1,,,,,,,,,,,,
3.123769E1,,,,,,,,,,,,
3.127103E1,,,,,,,,,,,,
3.130437E1,,,,,,,,,,,,
3.133771E1,,,,,,,,,,,,
3.137104E1,,,,,,,,,,,,
3.140438E1,,,,,,,,,,,,
3.143772E1,,,,,,,,,,,,
3.147106E1,,,,,,,,,,,,
3.150440E1,,,,,,,,,,,,
3.153773E1,,,,,,,,,,,,
3.157107E1,,,,,,,,,,,,
3.160441E1,,,,,,,,,,,,
3.163775E1,,,,,,,,,,,,
3.167109E1,,,,,,,,,,,,
3.170442E1,,,,,,,,,,,,
3.173776E1,,,,,,,,,,,,
3.177110E1,,,,,,,,,,,,
3.180444E1,,,,,,,,,,,,
3.183778E1,,,,,,,,,,,,
3.187111E1,,,,,,,,,,,,
3.190445E1,,,,,,,,,,,,
3.193779E1,,,,,,,,,,,,
3.197113E1,,,,,,,,,,,,
3.200447E1,,,,,,,,,,,,
3.203780E1,,,,,,,,,,,,
3.207114E1,,,,,,,,,,,,
