t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
1.080107E1,,,,,,,,,,,,
1.083441E1,,,,,,,,,,,,
1.086775E1,,,,,,,,,,,,
1.090108E1,,,,,,,,,,,,
1.093442E1,,,,,,,,,,,,
1.096776E1,,,,,,,,,,,,
1.100109E1,,,,,,,,,,,,
1.103443E1,,,,,,,,,,,,
1.106777E1,,,,,,,,,,,,
1.110110E1,,,,,,,,,,,,
1.113444E1,,,,,,,,,,,,
1.116778E1,,,,,,,,,,,,
1.120111E1,,,,,,,,,,,,
1.123445E1,,,,,,,,,,,,
1.126779E1,,,,,,,,,,,,
1.130112E1,,,,,,,,,,,,
1.133446E1,,,,,,,,,,,,
1.136780E1,,,,,,,,,,,,
1.140113E1,,,,,,,,,,,,
1.143447E1,,,,,,,,,,,,
1.146781E1,,,,,,,,,,,,
1.150114E1,,,,,,,,,,,,
1.153448E1,,,,,,,,,,,,
1.156782E1,,,,,,,,,,,,
1.160115E1,,,,,,,,,,,,
1.163449E1,,,,,,,,,,,,
1.166783E1,,,,,,,,,,,,
1.170116E1,,,,,,,,,,,,
1.173450E1,,,,,,,,,,,,
1.176784E1,,,,,,,,,,,,
1.180117E1,,,,,,,,,,,,
1.183451E1,,,,,,,,,,,,
1.186785E1,,,,,,,,,,,,
1.190118E1,,,,,,,,,,,,
1.193452E1,,,,,,,,,,,,
1.196786E1,,,,,,,,,,,,
1.200119E1,,,,,,,,,,,,
1.203453E1,,,,,,,,,,,,
1.206787E1,,,,,,,,,,,,
1.210120E1,,,,,,,,,,,,
1.213454E1,,,,,,,,,,,,
1.216788E1,,,,,,,,,,,,
1.220121E1,,,,,,,,,,,,
1.223455E1,,,,,,,,,,,,
1.226789E1,,,,,,,,,,,,
1.230122E1,,,,,,,,,,,,
1.233456E1,,,,,,,,,,,,
1.236790E1,,,,,,,,,,,,
1.240123E1,,,,,,,,,,,,
1.243457E1,,,,,,,,,,,,
1.246791E1,,,,,,,,,,,,
1.250124E1,,,,,,,,,,,,
1.253458E1,,,,,,,,,,,,
1.256792E1,,,,,,,,,,,,
1.260125E1,,,,,,,,,,,,
1.263459E1,,,,,,,,,,,,
1.266793E1,,,,,,,,,,,,
1.270126E1,,,,,,,,,,,,
1.273460E1,,,,,,,,,,,,
1.276794E1,,,,,,,,,,,,
1.280127E1,,,,,,,,,,,,
1.283461E1,,,,,,,,,,,,
1.286795E1,,,,,,,,,,,,
1.290128E1,,,,,,,,,,,,
1.293462E1,,,,,,,,,,,,
1.296796E1,,,,,,,,,,,,
1.300129E1,,,,,,,,,,,,
1.303463E1,,,,,,,,,,,,
1.306797E1,,,,,,,,,,,,
1.310130E1,,,,,,,,,,,,
1.313464E1,,,,,,,,,,,,
1.316798E1,,,,,,,,,,,,
1.320131E1,,,,,,,,,,,,
1.323465E1,,,,,,,,,,,,
1.326798E1,,,,,,,,,,,,
1.330132E1,,,,,,,,,,,,
1.333466E1,,,,,,,,,,,,
1.336799E1,,,,,,,,,,,,
1.340133E1,,,,,,,,,,,,
1.343467E1,,,,,,,,,,,,
1.346800E1,,,,,,,,,,,,
1.350134E1,,,,,,,,,,,,
1.353468E1,,,,,,,,,,,,
1.356801E1,,,,,,,,,,,,
1.360135E1,,,,,,,,,,,,
1.363469E1,,,,,,,,,,,,
1.366802E1,,,,,,,,,,,,
1.370136E1,,,,,,,,,,,,
1.373470E1,,,,,,,,,,,,
1.376803E1,,,,,,,,,,,,
1.380137E1,,,,,,,,,,,,
1.383471E1,,,,,,,,,,,,
1.386804E1,,,,,,,,,,,,
1.390138E1,,,,,,,,,,,,
1.393472E1,,,,,,,,,,,,
1.396805E1,,,,,,,,,,,,
1.400139E1,,,,,,,,,,,,
1.403473E1,,,,,,,,,,,,
1.406806E1,,,,,,,,,,,,
1.410140E1,,,,,,,,,,,,
1.413474E1,,,,,,,,,,,,
1.416807E1,,,,,,,,,,,,
1.420141E1,,,,,,,,,,,,
1.423475E1,,,,,,,,,,,,
1.426808E1,,,,,,,,,,,,
1.430142E1,,,,,,,,,,,,
1.433476E1,,,,,,,,,,,,
1.436809E1,,,,,,,,,,,,
1.440143E1,,,,,,,,,,,,
1.443477E1,,,,,,,,,,,,
1.446810E1,,,,,,,,,,,,
1.450144E1,,,,,,,,,,,,
1.453478E1,,,,,,,,,,,,
1.456811E1,,,,,,,,,,,,
1.460145E1,,,,,,,,,,,,
1.463479E1,,,,,,,,,,,,
1.466812E1,,,,,,,,,,,,
1.470146E1,,,,,,,,,,,,
1.473480E1,,,,,,,,,,,,
1.476813E1,,,,,,,,,,,,
1.480147E1,,,,,,,,,,,,
1.483481E1,,,,,,,,,,,,
1.486814E1,,,,,,,,,,,,
1.490148E1,,,,,,,,,,,,
1.493482E1,,,,,,,,,,,,
1.496815E1,,,,,,,,,,,,
1.500149E1,,,,,,,,,,,,
1.503483E1,,,,,,,,,,,,
1.506816E1,,,,,,,,,,,,
1.510150E1,,,,,,,,,,,,
1.513484E1,,,,,,,,,,,,
1.516817E1,,,,,,,,,,,,
1.520151E1,,,,,,,,,,,,
1.523485E1,,,,,,,,,,,,
1.526818E1,,,,,,,,,,,,
1.530152E1,,,,,,,,,,,,
1.533486E1,,,,,,,,,,,,
1.536819E1,,,,,,,,,,,,
1.540153E1,,,,,,,,,,,,
1.543487E1,,,,,,,,,,,,
1.546820E1,,,,,,,,,,,,
1.550154E1,,,,,,,,,,,,
1.553488E1,,,,,,,,,,,,
1.556821E1,,,,,,,,,,,,
1.560155E1,,,,,,,,,,,,
1.563489E1,,,,,,,,,,,,
1.566822E1,,,,,,,,,,,,
1.570156E1,,,,,,,,,,,,
1.573490E1,,,,,,,,,,,,
1.576823E1,,,,,,,,,,,,
1.580157E1,,,,,,,,,,,,
1.583491E1,,,,,,,,,,,,
1.586824E1,,,,,,,,,,,,
1.590158E1,,,,,,,,,,,,
1.593492E1,,,,,,,,,,,,
1.596825E1,,,,,,,,,,,,
1.600159E1,,,,,,,,,,,,
1.603493E1,,,,,,,,,,,,
1.606826E1,,,,,,,,,,,,
1.610160E1,,,,,,,,,,,,
1.613494E1,,,,,,,,,,,,
1.616827E1,,,,,,,,,,,,
1.620161E1,,,,,,,,,,,,
1.623495E1,,,,,,,,,,,,
1.626828E1,,,,,,,,,,,,
1.630162E1,,,,,,,,,,,,
1.633496E1,,,,,,,,,,,,
1.636829E1,,,,,,,,,,,,
1.640163E1,,,,,,,,,,,,
1.643497E1,,,,,,,,,,,,
1.646830E1,,,,,,,,,,,,
1.650164E1,,,,,,,,,,,,
1.653498E1,,,,,,,,,,,,
1.656831E1,,,3.852487E-4,1.262154E-3,,,,,,,,
1.660165E1,,,4.027222E-4,1.070152E-3,,,,,,,,
1.663499E1,,,9.962023E-4,9.305701E-4,,,,,,,,
1.666832E1,,,2.549693E-3,8.783565E-4,,,,,,,,
1.670166E1,,,4.906140E-3,5.120328E-4,,,,,,,,
1.673500E1,,,7.402168E-3,7.391891E-4,,,,,,,,
1.676833E1,,,1.221970E-2,9.840261E-4,,,,,,,,
1.680167E1,,,1.724670E-2,1.054335E-3,,,,,,,,
1.683501E1,,,2.325119E-2,1.020009E-3,,,,,,,,
1.686834E1,,,2.911609E-2,3.922025E-4,,,,,,,,
1.690168E1,,,3.890820E-2,1.283354E-3,,,,,,,,
1.693502E1,,,4.698977E-2,1.825242E-3,,,,,,,,
1.696835E1,,,5.767220E-2,1.442273E-3,,,,,,,,
1.700169E1,,,6.809274E-2,1.809839E-3,,,,,,,,
1.703503E1,,,8.004929E-2,2.317194E-3,,,,,,,,
1.706836E1,,,9.252964E-2,1.323478E-3,,,,,,,,
1.710170E1,,,1.068252E-1,1.656511E-3,,,,,,,,
