t,r,v,a,ang,v_ang
4.959,0.123,0.853,4.948,-741.9,-395.9
4.976,0.124,0.859,7.383,-748.5,-401.1
4.993,0.123,0.875,8.451,-755.4,-406.8
5.010,0.123,0.876,6.217,-762.2,-410.0
5.027,0.122,0.883,6.231,-769.1,-415.8
5.043,0.121,0.875,6.064,-776.2,-414.8
5.060,0.120,0.845,6.013,-783.1,-403.0
5.077,0.120,0.842,5.683,-789.7,-403.8
5.094,0.119,0.849,3.337,-796.7,-409.4
5.111,0.119,0.855,4.773,-803.5,-409.4
5.127,0.121,0.856,7.093,-810.4,-411.4
5.144,0.120,0.850,8.388,-817.3,-406.0
5.161,0.120,0.856,5.971,-824.1,-410.5
5.178,0.119,0.877,6.142,-831.1,-421.1
5.195,0.119,0.869,6.143,-838.2,-418.5
5.211,0.119,0.857,6.144,-845.2,-413.3
5.228,0.119,0.856,3.831,-852.1,-413.3
5.245,0.119,0.824,5.090,-859.1,-394.2
5.262,0.121,0.824,6.453,-865.4,-394.6
5.279,0.120,0.854,7.247,-872.3,-406.2
5.295,0.121,0.836,6.089,-879.1,-397.6
5.312,0.121,0.840,6.700,-885.7,-399.5
5.329,0.121,0.835,6.061,-892.5,-397.6
5.346,0.120,0.829,5.930,-899.1,-395.2
5.363,0.120,0.836,5.534,-905.8,-399.9
5.380,0.120,0.830,5.711,-912.5,-397.8
5.396,0.120,0.822,5.142,-919.1,-395.0
5.413,0.119,0.830,5.142,-925.8,-398.8
5.430,0.120,0.823,6.431,-932.6,-395.4
5.447,0.120,0.798,7.072,-939.1,-384.3
5.464,0.119,0.799,5.935,-945.5,-385.2
5.480,0.118,0.807,5.058,-952.0,-392.2
5.497,0.117,0.802,6.035,-958.7,-391.7
5.514,0.117,0.807,5.952,-965.3,-396.6
5.531,0.116,0.803,6.061,-972.0,-397.4
5.548,0.115,0.795,5.922,-978.6,-397.3
5.564,0.113,0.798,5.862,-985.4,-401.4
5.581,0.112,0.792,5.322,-992.1,-403.5
5.598,0.111,0.795,5.616,-998.9,-409.1
5.615,0.110,0.786,5.879,-1005.8,-409.3
5.632,0.109,0.788,6.028,-1012.7,-413.9
5.649,0.107,0.793,5.733,-1019.7,-421.7
5.665,0.106,0.803,5.853,-1026.9,-432.3
5.682,0.105,0.811,5.855,-1034.3,-442.0
5.699,0.104,0.807,5.992,-1041.7,-444.8
5.716,0.103,0.803,6.130,-1049.2,-447.7
5.733,0.102,0.808,6.300,-1056.8,-455.2
5.749,0.101,0.805,6.325,-1064.5,-458.0
5.766,9.973E-2,0.801,6.687,-1072.2,-460.5
5.783,9.878E-2,0.806,6.851,-1080.0,-468.0
5.800,9.755E-2,0.806,6.622,-1087.9,-472.7
5.817,9.634E-2,0.806,6.227,-1095.9,-478.6
5.833,9.539E-2,0.796,6.636,-1104.0,-478.8
5.850,9.444E-2,0.794,3.811,-1112.1,-482.5
5.867,9.331E-2,0.838,4.526,-1120.2,-505.8
5.884,9.593E-2,0.816,7.645,-1129.0,-496.1
5.901,9.540E-2,0.784,9.637,-1136.9,-471.8
5.918,9.509E-2,0.781,6.592,-1144.9,-471.9
5.934,9.473E-2,0.782,6.420,-1152.8,-474.7
5.951,9.407E-2,0.781,5.954,-1160.8,-475.5
5.968,9.392E-2,0.773,5.903,-1168.8,-472.9
5.985,9.376E-2,0.777,6.548,-1176.7,-476.1
6.002,9.368E-2,0.773,6.303,-1184.8,-474.8
6.018,9.330E-2,0.775,6.370,-1192.7,-476.4
6.035,9.341E-2,0.778,6.426,-1200.8,-479.5
6.052,9.314E-2,0.774,6.736,-1208.8,-477.6
6.069,9.294E-2,0.775,6.229,-1216.8,-479.4
6.086,9.276E-2,0.774,6.564,-1224.9,-479.1
6.102,9.269E-2,0.768,6.617,-1233.0,-477.3
6.119,9.229E-2,0.776,6.680,-1241.0,-482.6
6.136,9.214E-2,0.772,6.402,-1249.2,-482.6
6.153,9.168E-2,0.764,6.571,-1257.2,-478.1
6.170,9.146E-2,0.754,6.224,-1265.3,-474.5
6.186,9.101E-2,0.743,6.391,-1273.2,-469.0
6.203,9.068E-2,0.736,6.478,-1281.0,-466.8
6.220,9.016E-2,0.744,6.593,-1288.9,-474.4
6.237,8.944E-2,0.741,6.636,-1297.0,-475.6
6.254,8.865E-2,0.729,6.579,-1304.9,-472.3
6.271,8.759E-2,0.734,6.576,-1312.9,-479.9
6.287,8.659E-2,0.736,6.370,-1321.0,-487.6
6.304,8.529E-2,0.729,6.436,-1329.2,-488.4
6.321,8.417E-2,0.724,6.124,-1337.4,-492.4
6.338,8.290E-2,0.717,5.795,-1345.8,-494.1
6.355,8.179E-2,0.699,6.234,-1354.0,-488.9
6.371,8.094E-2,0.708,6.155,-1362.2,-502.5
6.388,7.953E-2,0.708,2.334,-1370.9,-507.9
6.405,7.861E-2,0.718,4.173,-1379.3,-510.9
6.422,8.159E-2,0.722,8.819,-1388.1,-520.3
6.439,8.050E-2,0.726,10.83,-1396.8,-517.3
6.455,7.914E-2,0.727,6.856,-1405.5,-525.3
6.472,7.793E-2,0.729,6.140,-1414.5,-536.1
6.489,7.656E-2,0.789,6.851,-1423.5,-586.8
6.506,7.678E-2,0.779,8.025,-1434.2,-590.4
6.523,7.520E-2,0.738,9.062,-1443.4,-559.8
6.540,7.430E-2,0.757,7.606,-1453.0,-585.4
6.556,7.314E-2,0.772,7.100,-1463.0,-606.3
6.573,7.167E-2,0.761,7.477,-1473.4,-604.2
6.590,7.161E-2,0.751,8.102,-1483.4,-608.1
6.607,7.036E-2,0.775,9.079,-1493.9,-630.8
6.624,6.962E-2,0.779,8.203,-1504.6,-645.2
6.640,6.849E-2,0.750,7.658,-1515.6,-628.2
6.657,6.761E-2,0.712,6.762,-1525.7,-602.8
6.674,6.742E-2,0.696,6.271,-1535.8,-594.5
6.691,6.724E-2,0.688,7.058,-1545.7,-587.7
6.708,6.739E-2,0.698,6.911,-1555.6,-598.0
6.724,6.722E-2,0.702,6.984,-1565.8,-599.9
6.741,6.744E-2,0.685,7.673,-1575.7,-585.5
6.758,6.749E-2,0.691,8.006,-1585.5,-591.8
6.775,6.696E-2,0.699,7.743,-1595.6,-600.4
6.792,6.655E-2,0.690,7.101,-1605.7,-597.8
6.808,6.589E-2,0.683,7.353,-1615.7,-594.6
6.825,6.559E-2,0.675,7.438,-1625.7,-594.5
6.842,6.474E-2,0.669,7.295,-1635.7,-593.4
6.859,6.390E-2,0.655,6.987,-1645.6,-588.6
6.876,6.315E-2,0.660,7.487,-1655.5,-601.1
6.893,6.221E-2,0.660,7.769,-1665.8,-609.6
6.909,6.080E-2,0.651,7.588,-1676.0,-611.6
6.926,5.938E-2,0.649,7.524,-1686.4,-624.7
6.943,5.789E-2,0.650,7.509,-1697.0,-641.6
6.960,5.606E-2,0.642,7.277,-1708.0,-651.1
6.977,5.446E-2,0.632,5.434,-1718.9,-661.3
6.993,5.288E-2,0.654,6.583,-1730.2,-699.8
7.010,5.324E-2,0.669,,-1742.4,-736.2
7.027,5.198E-2,,,-1754.9,
