t,r,v,a,ang,v_ang
2.740,0.181,,,-0.0,
2.757,0.181,0.321,,-1.5,-100.8
2.774,0.182,0.416,7.670,-3.4,-129.6
2.791,0.183,0.567,10.45,-5.9,-178.1
2.807,0.183,0.749,10.73,-9.4,-234.7
2.824,0.183,0.885,8.708,-13.8,-278.3
2.841,0.181,0.971,6.679,-18.8,-305.9
2.858,0.180,0.991,3.862,-24.1,-314.7
2.875,0.178,0.992,2.939,-29.3,-317.4
2.892,0.178,0.996,3.636,-34.8,-320.0
2.908,0.179,0.987,4.637,-40.1,-316.9
2.925,0.179,0.977,5.127,-45.4,-312.6
2.942,0.180,0.982,5.688,-50.6,-313.5
2.959,0.180,0.987,7.333,-55.9,-314.6
2.976,0.180,0.967,5.798,-61.2,-309.0
2.992,0.179,1.034,5.352,-66.3,-329.2
3.009,0.180,1.033,6.195,-72.3,-330.9
3.026,0.179,0.988,7.101,-77.5,-315.5
3.043,0.179,0.988,3.873,-82.9,-316.4
3.060,0.179,0.961,4.218,-88.1,-308.2
3.076,0.179,0.955,5.537,-93.2,-305.8
3.093,0.180,0.958,6.891,-98.4,-307.0
3.110,0.179,0.962,6.704,-103.6,-308.4
3.127,0.178,0.969,5.403,-108.8,-311.6
3.144,0.177,0.978,5.074,-114.0,-316.2
3.160,0.177,0.981,8.061,-119.4,-318.7
3.177,0.176,1.088,6.590,-124.7,-355.5
3.194,0.174,1.084,5.227,-131.3,-356.0
3.211,0.173,0.971,5.798,-136.7,-321.3
3.228,0.173,0.973,4.275,-142.1,-322.8
3.245,0.173,0.976,5.261,-147.6,-323.6
3.261,0.173,0.970,5.903,-153.0,-322.2
3.278,0.173,0.976,6.105,-158.4,-323.8
3.295,0.173,0.968,5.239,-163.9,-321.8
3.312,0.172,0.957,5.478,-169.2,-318.2
3.329,0.172,0.957,5.631,-174.6,-318.6
3.345,0.172,0.947,5.267,-179.9,-315.9
3.362,0.171,0.945,5.103,-185.2,-315.5
3.379,0.172,0.942,4.702,-190.5,-315.7
3.396,0.171,0.945,5.159,-195.8,-316.3
3.413,0.171,0.947,4.816,-201.2,-317.8
3.429,0.171,0.949,5.965,-206.5,-318.1
3.446,0.171,0.941,5.191,-211.9,-316.4
3.463,0.170,0.936,5.405,-217.2,-314.5
3.480,0.171,0.934,5.072,-222.4,-314.9
3.497,0.170,0.942,5.602,-227.8,-317.6
3.514,0.170,0.933,5.046,-233.1,-315.6
3.530,0.169,0.931,5.611,-238.4,-315.3
3.547,0.169,0.936,5.323,-243.7,-318.0
3.564,0.168,0.931,5.479,-249.1,-317.0
3.581,0.168,0.922,5.205,-254.4,-315.2
3.598,0.167,0.923,4.946,-259.7,-316.5
3.614,0.166,0.922,5.235,-265.0,-317.5
3.631,0.166,0.928,5.413,-270.3,-321.3
3.648,0.165,0.934,5.353,-275.8,-324.0
3.665,0.164,0.925,4.875,-281.2,-322.8
3.682,0.164,0.923,5.344,-286.7,-323.4
3.698,0.163,0.930,5.201,-292.1,-327.4
3.715,0.162,0.939,5.393,-297.7,-331.4
3.732,0.162,0.935,5.521,-303.2,-331.7
3.749,0.161,0.936,5.518,-308.8,-333.1
3.766,0.160,0.934,5.083,-314.4,-333.8
3.782,0.160,0.935,5.408,-320.1,-335.6
3.799,0.159,0.940,5.944,-325.7,-338.7
3.816,0.158,0.945,5.796,-331.4,-341.9
3.833,0.158,0.938,5.449,-337.2,-340.8
3.850,0.157,0.944,5.525,-342.9,-344.7
3.867,0.156,0.945,5.725,-348.8,-346.6
3.883,0.156,0.946,5.938,-354.6,-348.6
3.900,0.155,0.958,5.896,-360.5,-354.5
3.917,0.154,0.951,5.774,-366.5,-353.5
3.934,0.153,0.954,5.682,-372.4,-356.5
3.951,0.153,0.941,5.891,-378.5,-353.4
3.967,0.152,0.931,6.181,-384.3,-350.7
3.984,0.151,0.936,5.629,-390.3,-354.6
4.001,0.150,0.921,5.837,-396.2,-350.6
4.018,0.150,0.917,5.989,-402.0,-351.1
4.035,0.149,0.932,2.817,-408.0,-358.6
4.051,0.148,0.871,3.984,-414.1,-333.6
4.068,0.150,0.846,6.829,-419.2,-325.9
4.085,0.149,0.899,8.436,-425.1,-344.9
4.102,0.148,0.903,5.330,-430.8,-348.1
4.119,0.148,0.905,5.232,-436.8,-351.1
4.136,0.147,0.900,5.527,-442.6,-350.7
4.152,0.146,0.901,5.398,-448.6,-353.4
4.169,0.146,0.898,2.352,-454.5,-353.7
4.186,0.145,0.851,3.488,-460.5,-332.3
4.203,0.148,0.847,6.729,-465.7,-332.1
4.220,0.147,0.914,8.387,-471.6,-356.2
4.236,0.147,0.921,5.445,-477.7,-360.0
4.253,0.147,0.923,5.867,-483.7,-361.7
4.270,0.146,0.927,6.239,-489.8,-363.3
4.287,0.146,0.916,5.877,-495.9,-360.4
4.304,0.145,0.919,5.720,-501.9,-362.0
4.320,0.145,0.916,5.191,-508.1,-362.4
4.337,0.145,0.904,5.729,-514.1,-358.0
4.354,0.145,0.899,5.555,-520.1,-356.8
4.371,0.144,0.901,5.402,-526.1,-357.5
4.388,0.144,0.896,4.837,-532.2,-356.0
4.405,0.144,0.891,5.316,-538.1,-353.7
4.421,0.145,0.884,5.914,-544.1,-351.1
4.438,0.145,0.877,6.077,-549.9,-348.5
4.455,0.144,0.878,5.416,-555.8,-349.2
4.472,0.144,0.878,5.256,-561.6,-349.7
4.489,0.144,0.879,5.315,-567.5,-350.9
4.505,0.144,0.870,5.794,-573.4,-348.0
4.522,0.143,0.865,5.796,-579.2,-346.9
4.539,0.143,0.873,5.287,-585.1,-351.0
4.556,0.142,0.869,5.508,-591.0,-350.7
4.573,0.142,0.866,5.705,-596.9,-351.0
4.589,0.141,0.867,5.470,-602.8,-352.4
4.606,0.140,0.862,5.891,-608.7,-352.7
4.623,0.140,0.870,5.517,-614.7,-358.2
4.640,0.138,0.861,4.778,-620.8,-356.0
4.657,0.138,0.845,5.305,-626.7,-352.2
4.673,0.137,0.865,5.913,-632.6,-362.3
4.690,0.136,0.861,5.504,-638.9,-362.6
4.707,0.135,0.861,5.032,-644.8,-365.4
4.724,0.134,0.862,5.381,-651.1,-368.2
4.741,0.133,0.840,5.588,-657.2,-360.8
4.758,0.133,0.850,5.406,-663.3,-367.3
4.774,0.132,0.868,5.512,-669.5,-377.3
4.791,0.131,0.867,5.876,-676.0,-379.2
4.808,0.130,0.857,6.030,-682.3,-377.1
4.825,0.129,0.870,5.721,-688.6,-385.4
4.842,0.129,0.874,5.927,-695.3,-389.8
4.858,0.128,0.866,6.071,-701.7,-389.0
4.875,0.127,0.872,5.848,-708.4,-394.4
4.892,0.126,0.874,5.931,-715.0,-398.3
4.909,0.125,0.872,6.049,-721.7,-400.0
4.926,0.124,0.867,5.802,-728.4,-400.3
4.942,0.123,0.859,3.395,-735.2,-399.5
