t,r,v,a,ang,v_ang
16.273,0.179,0.631,2.305,-4363.4,-202.6
16.290,0.178,0.637,2.193,-4366.8,-204.6
16.307,0.178,0.639,2.176,-4370.2,-205.3
16.324,0.178,0.644,2.375,-4373.7,-207.0
16.340,0.178,0.650,2.344,-4377.2,-209.1
16.357,0.178,0.640,2.122,-4380.7,-205.9
16.374,0.178,0.643,2.292,-4384.1,-206.9
16.391,0.178,0.649,2.574,-4387.7,-209.1
16.408,0.178,0.634,2.324,-4391.2,-204.1
16.424,0.178,0.638,2.184,-4394.5,-205.6
16.441,0.178,0.650,2.448,-4398.1,-209.6
16.458,0.178,0.644,2.490,-4401.6,-207.6
16.475,0.178,0.648,2.124,-4405.1,-208.9
16.492,0.178,0.645,2.296,-4408.6,-208.3
16.508,0.178,0.638,2.301,-4412.1,-205.9
16.525,0.178,0.645,2.140,-4415.5,-208.2
16.542,0.178,0.645,2.370,-4419.1,-208.3
16.559,0.178,0.636,2.886,-4422.5,-205.3
16.576,0.178,0.724,2.324,-4426.0,-231.5
16.593,0.180,0.728,3.640,-4430.3,-233.1
16.609,0.179,0.653,7.959,-4433.8,-208.4
16.626,0.180,0.582,3.144,-4437.3,-186.0
16.643,0.178,0.574,2.782,-4440.1,-183.5
16.660,0.178,0.693,4.079,-4443.5,-221.1
16.677,0.180,0.720,3.543,-4447.5,-229.8
16.693,0.180,0.650,5.230,-4451.2,-206.9
16.710,0.180,0.626,2.663,-4454.4,-199.2
16.727,0.180,0.669,2.319,-4457.9,-212.7
16.744,0.180,0.610,2.410,-4461.6,-194.2
16.761,0.180,0.592,2.114,-4464.5,-188.3
16.777,0.180,0.630,2.660,-4467.9,-200.4
16.794,0.180,0.622,2.902,-4471.2,-198.1
16.811,0.180,0.672,7.306,-4474.6,-213.8
16.828,0.180,0.832,3.477,-4478.4,-265.3
16.845,0.179,0.796,4.897,-4483.5,-253.9
16.862,0.180,0.633,5.939,-4486.9,-202.2
16.878,0.179,0.635,2.154,-4490.3,-202.7
16.895,0.180,0.641,2.288,-4493.7,-204.8
16.912,0.180,0.637,2.316,-4497.2,-203.4
16.929,0.179,0.635,2.058,-4500.6,-202.6
16.946,0.180,0.639,2.336,-4504.0,-204.1
16.962,0.180,0.646,4.742,-4507.4,-206.1
16.979,0.180,0.511,2.826,-4510.9,-162.9
16.996,0.180,0.514,2.683,-4512.9,-164.0
17.013,0.180,0.638,4.773,-4516.4,-203.4
17.030,0.180,0.631,2.397,-4519.7,-201.2
17.046,0.180,0.665,2.497,-4523.2,-212.0
17.063,0.180,0.664,2.863,-4526.9,-211.7
17.080,0.180,0.611,2.735,-4530.3,-194.9
17.097,0.180,0.604,2.022,-4533.4,-192.7
17.114,0.180,0.613,1.728,-4536.8,-195.7
17.130,0.180,0.615,2.293,-4540.0,-196.2
17.147,0.180,0.615,2.336,-4543.4,-196.2
17.164,0.180,0.622,2.242,-4546.6,-198.1
17.181,0.180,0.634,1.926,-4550.1,-202.3
17.198,0.180,0.609,2.564,-4553.4,-194.0
17.215,0.180,0.598,2.136,-4556.6,-190.8
17.231,0.180,0.608,2.095,-4559.8,-194.0
17.248,0.180,0.617,1.863,-4563.1,-196.7
17.265,0.180,0.609,2.076,-4566.4,-194.3
17.282,0.180,0.602,2.029,-4569.6,-191.9
17.299,0.180,0.612,2.096,-4572.9,-195.3
17.315,0.180,0.612,1.965,-4576.2,-195.2
17.332,0.180,0.611,2.091,-4579.4,-194.6
17.349,0.180,0.614,2.066,-4582.8,-195.6
17.366,0.180,0.614,1.973,-4586.0,-195.7
17.383,0.180,0.610,2.145,-4589.3,-194.2
17.399,0.180,0.609,2.341,-4592.6,-194.0
17.416,0.180,0.611,2.124,-4595.9,-194.6
17.433,0.180,0.600,1.733,-4599.1,-191.0
17.450,0.180,0.606,1.962,-4602.3,-192.9
17.467,0.180,0.614,2.036,-4605.6,-195.3
17.484,0.180,0.609,2.209,-4608.8,-193.4
17.500,0.180,0.609,2.175,-4612.1,-193.5
17.517,0.180,0.610,2.170,-4615.3,-193.6
17.534,0.180,0.604,1.831,-4618.6,-191.8
17.551,0.180,0.608,2.115,-4621.8,-193.0
17.568,0.181,0.614,2.153,-4625.1,-195.0
17.584,0.180,0.599,2.232,-4628.4,-190.0
17.601,0.181,0.602,1.760,-4631.5,-191.3
17.618,0.180,0.611,2.049,-4634.8,-193.9
17.635,0.181,0.601,2.094,-4638.0,-190.9
17.652,0.181,0.608,2.014,-4641.2,-193.1
17.668,0.181,0.606,1.843,-4644.5,-192.5
17.685,0.181,0.600,2.030,-4647.7,-190.3
17.702,0.181,0.612,2.225,-4650.9,-194.2
17.719,0.181,0.616,2.154,-4654.2,-195.5
17.736,0.181,0.611,2.141,-4657.5,-193.6
17.752,0.181,0.617,1.905,-4660.7,-195.7
17.769,0.181,0.607,2.080,-4664.0,-192.5
17.786,0.181,0.604,2.176,-4667.2,-191.5
17.803,0.181,0.620,2.152,-4670.5,-196.6
17.820,0.181,0.616,2.014,-4673.8,-195.2
17.837,0.181,0.608,2.138,-4677.0,-192.7
17.853,0.181,0.612,2.136,-4680.3,-194.0
17.870,0.181,0.615,2.233,-4683.6,-194.7
17.887,0.181,0.622,2.164,-4686.8,-197.1
17.904,0.181,0.618,2.246,-4690.2,-195.9
17.921,0.181,0.601,1.993,-4693.4,-190.6
17.937,0.181,0.613,2.039,-4696.6,-194.4
17.954,0.181,0.617,1.930,-4699.9,-195.8
17.971,0.181,0.602,2.065,-4703.2,-191.2
17.988,0.181,0.609,2.007,-4706.4,-193.4
18.005,0.181,0.612,2.115,-4709.7,-194.4
18.021,0.181,0.601,2.095,-4712.9,-190.6
18.038,0.181,0.602,2.008,-4716.1,-191.3
18.055,0.180,0.604,2.029,-4719.3,-191.7
18.072,0.181,0.604,2.070,-4722.5,-192.0
18.089,0.180,0.608,1.988,-4725.8,-193.2
18.106,0.180,0.606,1.729,-4729.0,-192.4
18.122,0.180,0.599,1.839,-4732.3,-190.3
18.139,0.181,0.603,2.132,-4735.4,-191.4
18.156,0.181,0.614,2.286,-4738.7,-194.7
18.173,0.181,0.615,2.226,-4742.0,-195.1
18.190,0.181,0.613,2.083,-4745.3,-194.6
18.206,0.181,0.616,2.058,-4748.5,-195.3
18.223,0.181,0.617,2.048,-4751.8,-195.9
18.240,0.181,0.613,2.223,-4755.1,-194.5
18.257,0.181,0.613,2.031,-4758.4,-194.6
18.274,0.181,0.604,1.843,-4761.7,-191.4
18.290,0.181,0.603,1.865,-4764.8,-191.1
18.307,0.181,0.610,2.091,-4768.1,-193.3
18.324,0.181,0.608,2.151,-4771.3,-192.6
18.341,0.181,0.612,2.240,-4774.6,-193.8
18.358,0.181,0.616,2.224,-4777.8,-195.2
18.375,0.181,0.612,2.135,-4781.1,-193.7
18.391,0.181,0.613,1.940,-4784.3,-194.1
18.408,0.181,0.609,2.026,-4787.6,-192.8
18.425,0.181,0.606,1.944,-4790.8,-191.8
18.442,0.181,0.608,1.924,-4794.1,-192.6
18.459,0.181,0.607,1.930,-4797.3,-192.0
18.475,0.181,0.602,2.240,-4800.5,-190.6
18.492,0.181,0.607,2.119,-4803.7,-191.9
18.509,0.181,0.610,4.399,-4807.0,-193.0
18.526,0.181,0.610,3.341,-4810.2,-193.0
18.543,0.179,0.620,1.029,-4813.5,-195.9
18.559,0.179,0.607,0.760,-4816.8,-194.3
18.576,0.179,0.596,2.058,-4820.0,-191.2
18.593,0.179,0.593,1.950,-4823.2,-190.1
18.610,0.179,0.591,1.630,-4826.4,-189.7
18.627,0.179,0.590,2.039,-4829.6,-189.1
18.643,0.179,0.590,1.886,-4832.8,-189.4
18.660,0.179,0.588,2.157,-4836.0,-188.6
18.677,0.179,0.584,1.940,-4839.1,-187.4
18.694,0.179,0.579,2.202,-4842.3,-185.8
18.711,0.179,0.572,1.816,-4845.4,-183.5
18.728,0.178,0.571,1.787,-4848.4,-183.5
18.744,0.178,0.573,1.526,-4851.5,-184.2
18.761,0.178,0.571,1.682,-4854.6,-183.5
18.778,0.178,0.573,1.866,-4857.7,-184.0
18.795,0.178,0.576,2.076,-4860.8,-185.2
18.812,0.178,0.572,1.842,-4863.9,-183.8
18.828,0.178,0.563,3.898,-4867.0,-181.1
18.845,0.178,0.457,1.795,-4870.0,-145.0
18.862,0.180,0.460,3.726,-4871.9,-146.3
18.879,0.180,0.587,5.461,-4874.9,-186.9
18.896,0.180,0.593,2.018,-4878.1,-188.8
18.912,0.180,0.597,2.024,-4881.3,-190.1
18.929,0.180,0.585,2.100,-4884.5,-186.2
18.946,0.180,0.551,2.053,-4887.5,-175.4
18.963,0.180,0.557,2.230,-4890.4,-177.2
18.980,0.180,0.590,1.782,-4893.5,-187.6
18.997,0.180,0.563,1.792,-4896.7,-179.2
19.013,0.180,0.543,1.817,-4899.5,-172.8
19.030,0.180,0.585,1.723,-4902.5,-186.3
19.047,0.180,0.563,1.956,-4905.8,-179.1
19.064,0.180,0.546,1.674,-4908.6,-173.9
19.081,0.180,0.559,1.662,-4911.6,-177.8
19.097,0.180,0.564,1.918,-4914.5,-179.4
19.114,0.180,0.555,1.999,-4917.7,-176.4
19.131,0.180,0.549,1.866,-4920.5,-174.5
19.148,0.180,0.554,1.632,-4923.5,-176.0
19.165,0.180,0.546,1.558,-4926.4,-173.7
19.181,0.180,0.566,1.792,-4929.4,-179.7
19.198,0.180,0.566,1.867,-4932.4,-180.0
19.215,0.180,0.561,1.764,-4935.4,-178.3
19.232,0.180,0.564,1.487,-4938.4,-179.2
19.249,0.180,0.558,1.746,-4941.4,-177.4
19.265,0.180,0.554,1.695,-4944.4,-175.9
19.282,0.181,0.554,1.750,-4947.4,-175.9
19.299,0.181,0.552,1.929,-4950.3,-175.2
19.316,0.181,0.559,1.800,-4953.3,-177.2
19.333,0.181,0.563,1.614,-4956.3,-178.6
19.350,0.181,0.556,1.720,-4959.3,-176.2
19.366,0.181,0.558,1.691,-4962.2,-176.8
19.383,0.181,0.561,1.645,-4965.2,-178.0
19.400,0.181,0.562,1.649,-4968.2,-178.0
19.417,0.181,0.549,1.751,-4971.2,-173.8
19.434,0.181,0.547,1.784,-4974.0,-173.2
19.450,0.181,0.554,1.793,-4977.0,-175.4
19.467,0.181,0.558,1.840,-4979.9,-176.6
19.484,0.181,0.561,1.861,-4982.9,-177.6
19.501,0.181,0.544,1.682,-4985.9,-172.2
19.518,0.181,0.551,1.474,-4988.7,-174.3
19.534,0.181,0.558,1.761,-4991.8,-176.7
19.551,0.181,0.568,1.810,-4994.7,-179.6
19.568,0.181,0.547,1.865,-4997.8,-172.8
19.585,0.181,0.558,1.813,-5000.5,-176.3
19.602,0.181,0.572,1.762,-5003.7,-180.8
19.619,0.181,0.546,1.996,-5006.6,-172.4
19.635,0.181,0.552,1.574,-5009.5,-174.3
19.652,0.181,0.551,3.135,-5012.4,-174.0
19.669,0.181,0.596,2.410,-5015.4,-188.6
19.686,0.180,0.595,1.382,-5018.8,-188.2
19.703,0.180,0.557,1.716,-5021.7,-177.0
19.719,0.181,0.558,1.801,-5024.7,-177.3
19.736,0.180,0.559,1.716,-5027.7,-177.3
19.753,0.181,0.570,1.614,-5030.7,-180.9
19.770,0.181,0.560,1.896,-5033.7,-177.9
19.787,0.181,0.556,1.622,-5036.7,-176.3
19.803,0.181,0.559,1.640,-5039.7,-177.2
19.820,0.181,0.561,1.730,-5042.6,-178.0
19.837,0.181,0.567,1.964,-5045.7,-179.6
19.854,0.181,0.563,1.731,-5048.7,-178.6
19.871,0.181,0.566,1.717,-5051.7,-179.3
19.888,0.181,0.563,1.772,-5054.7,-178.4
19.904,0.181,0.549,1.867,-5057.7,-174.0
19.921,0.181,0.555,1.665,-5060.5,-175.7
19.938,0.181,0.566,1.710,-5063.6,-179.1
19.955,0.181,0.554,1.759,-5066.6,-175.6
19.972,0.181,0.550,1.665,-5069.5,-174.1
19.988,0.181,0.556,1.693,-5072.4,-176.1
20.005,0.181,0.548,1.665,-5075.4,-173.4
20.022,0.181,0.548,1.461,-5078.2,-173.5
20.039,0.181,0.556,1.770,-5081.2,-175.8
20.056,0.181,0.558,1.992,-5084.2,-176.5
20.072,0.181,0.555,1.743,-5087.2,-175.3
20.089,0.181,0.552,1.559,-5090.0,-174.5
20.106,0.181,0.554,1.686,-5093.0,-174.9
20.123,0.181,0.552,,-5095.9,-174.4
20.140,0.182,,,-5098.9,
